"filename", "language", "C++", "C", "Yacc", "Lex", "Shell Script", "Batch", "Makefile", "JSON", "CMake", "TypeScript", "YAML", "comment", "blank", "total"
"d:\CompilerTools\code\minic\IRCompiler\031_if_test4.c", "C", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 19
"d:\CompilerTools\code\minic\IRCompiler\032_if_test5.c", "C", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 19
"d:\CompilerTools\code\minic\IRCompiler\033_while_if.c", "C", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"d:\CompilerTools\code\minic\IRCompiler\034_while_test1.c", "C", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"d:\CompilerTools\code\minic\IRCompiler\035_while_test2.c", "C", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"d:\CompilerTools\code\minic\IRCompiler\036_while_test3.c", "C", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 56
"d:\CompilerTools\code\minic\IRCompiler\037_break.c", "C", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 15
"d:\CompilerTools\code\minic\IRCompiler\038_continue.c", "C", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 16
"d:\CompilerTools\code\minic\IRCompiler\039_while_if_test1.c", "C", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 26
"d:\CompilerTools\code\minic\IRCompiler\040_while_if_test2.c", "C", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"d:\CompilerTools\code\minic\IRCompiler\041_while_if_test3.c", "C", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"d:\CompilerTools\code\minic\IRCompiler\042_arr_expr_len.c", "C", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"d:\CompilerTools\code\minic\IRCompiler\043_op_priority1.c", "C", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
"d:\CompilerTools\code\minic\IRCompiler\044_op_priority2.c", "C", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
"d:\CompilerTools\code\minic\IRCompiler\045_op_priority3.c", "C", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 7
"d:\CompilerTools\code\minic\IRCompiler\046_op_priority4.c", "C", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"d:\CompilerTools\code\minic\IRCompiler\047_op_priority5.c", "C", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"d:\CompilerTools\code\minic\IRCompiler\048_stmt_expr.c", "C", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\CompilerTools\code\minic\IRCompiler\049_unary_op.c", "C", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"d:\CompilerTools\code\minic\IRCompiler\050_unary_op2.c", "C", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"d:\CompilerTools\code\minic\IRCompiler\051_logi_assign.c", "C", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\CompilerTools\code\minic\IRCompiler\052_comment1.c", "C", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 8
"d:\CompilerTools\code\minic\IRCompiler\053_comment2.c", "C", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 11
"d:\CompilerTools\code\minic\IRCompiler\054_hex_defn.c", "C", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 6
"d:\CompilerTools\code\minic\IRCompiler\055_hex_oct_add.c", "C", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 7
"d:\CompilerTools\code\minic\IRCompiler\056_assign_complex_expr.c", "C", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 22
"d:\CompilerTools\code\minic\IRCompiler\057_if_complex_expr.c", "C", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 25
"d:\CompilerTools\code\minic\IRCompiler\058_short_circuit.c", "C", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"d:\CompilerTools\code\minic\IRCompiler\059_short_circuit2.c", "C", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"d:\CompilerTools\code\minic\IRCompiler\060_scope.c", "C", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"d:\CompilerTools\code\minic\IRCompiler\061_sort_test1.c", "C", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 45
"d:\CompilerTools\code\minic\IRCompiler\062_sort_test2.c", "C", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 42
"d:\CompilerTools\code\minic\IRCompiler\063_sort_test3.c", "C", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 69
"d:\CompilerTools\code\minic\IRCompiler\064_sort_test4.c", "C", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 53
"d:\CompilerTools\code\minic\IRCompiler\065_sort_test5.c", "C", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 68
"d:\CompilerTools\code\minic\IRCompiler\066_sort_test6.c", "C", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 55
"d:\CompilerTools\code\minic\IRCompiler\067_sort_test7.c", "C", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 58
"d:\CompilerTools\code\minic\IRCompiler\068_genealogical_tree.c", "C", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 70
"d:\CompilerTools\code\minic\IRCompiler\069_greatest_common_divisor.c", "C", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"d:\CompilerTools\code\minic\IRCompiler\070_multiplication_puzzle.c", "C", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40
"d:\CompilerTools\code\minic\IRCompiler\071_exchange_array.c", "C", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"d:\CompilerTools\code\minic\IRCompiler\072_percolation.c", "C", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 99
"d:\CompilerTools\code\minic\IRCompiler\073_backpack.c", "C", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 85
"d:\CompilerTools\code\minic\IRCompiler\074_matrix_add.c", "C", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 72
"d:\CompilerTools\code\minic\IRCompiler\075_matrix_sub.c", "C", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 75
"d:\CompilerTools\code\minic\IRCompiler\076_matrix_mul.c", "C", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 76
"d:\CompilerTools\code\minic\IRCompiler\077_matrix_tran.c", "C", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 77
"d:\CompilerTools\code\minic\IRCompiler\078_big_int_mul.c", "C", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 116
"d:\CompilerTools\code\minic\IRCompiler\079_calculator.c", "C", 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 197
"d:\CompilerTools\code\minic\IRCompiler\080_color.c", "C", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 80
"d:\CompilerTools\code\minic\IRCompiler\081_go_upstairs.c", "C", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"d:\CompilerTools\code\minic\IRCompiler\082_remove_duplicate_element.c", "C", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24
"d:\CompilerTools\code\minic\IRCompiler\083_accumulate.c", "C", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 21
"d:\CompilerTools\code\minic\IRCompiler\084_last_word_length.c", "C", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"d:\CompilerTools\code\minic\IRCompiler\085_multi.c", "C", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 22
"d:\CompilerTools\code\minic\IRCompiler\086_max_subsequence_sum.c", "C", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32
"d:\CompilerTools\code\minic\IRCompiler\087_enum.c", "C", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"d:\CompilerTools\code\minic\IRCompiler\088_exchange_value.c", "C", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 30
"d:\CompilerTools\code\minic\IRCompiler\089_itera_sqrt.c", "C", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"d:\CompilerTools\code\minic\IRCompiler\090_max_container.c", "C", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"d:\CompilerTools\code\minic\IRCompiler\091_int_factor_sum.c", "C", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"d:\CompilerTools\code\minic\IRCompiler\092_unique_path.c", "C", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"d:\CompilerTools\code\minic\IRCompiler\093_decbinoct.c", "C", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"d:\CompilerTools\code\minic\IRCompiler\094_lcm.c", "C", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 39
"d:\CompilerTools\code\minic\IRCompiler\095_jump_game.c", "C", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"d:\CompilerTools\code\minic\IRCompiler\096_int_split.c", "C", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43
"d:\CompilerTools\code\minic\IRCompiler\097_enc_dec.c", "C", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 41
"d:\CompilerTools\code\minic\IRCompiler\098_palindrome_number.c", "C", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"d:\CompilerTools\code\minic\IRCompiler\099_bin_search.c", "C", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 55
"d:\CompilerTools\code\minic\IRCompiler\100_array_concat.c", "C", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 55
"d:\CompilerTools\code\minic\IRCompiler\101_insert_order.c", "C", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 60
"d:\CompilerTools\code\minic\IRCompiler\102_line_search.c", "C", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 64
"d:\CompilerTools\code\minic\IRCompiler\103_array_assign.c", "C", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 35
"d:\CompilerTools\code\minic\IRCompiler\104_cond_expr.c", "C", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"d:\CompilerTools\code\minic\IRCompiler\105_cond_expr.c", "C", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"d:\CompilerTools\code\minic\IRCompiler\genir.sh", "Shell Script", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 6, 19, 77
"d:\CompilerTools\code\minic\IRCompiler\mingwshell.bat", "Batch", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CompilerTools\code\minic\IRCompiler\ren.sh", "Shell Script", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"d:\CompilerTools\code\minic\IRCompiler\run.sh", "Shell Script", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 6, 23, 93
"d:\CompilerTools\code\minic\IRCompiler\runir.sh", "Shell Script", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 6, 23, 93
"d:\CompilerTools\code\minic\IRCompiler\std.c", "C", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18, 66
"d:\CompilerTools\code\minic\ast_minic.cpp", "C++", 936, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 117, 1184
"d:\CompilerTools\code\minic\ast_minic.h", "C++", 363, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 65, 444
"d:\CompilerTools\code\minic\cmake-build-debug\.cmake\api\v1\query\client-vscode\query.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\CompilerTools\code\minic\cmake-build-debug\.cmake\api\v1\reply\cache-v2-2b293b4116bf7c88e136.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1459, 0, 0, 0, 0, 1, 1460
"d:\CompilerTools\code\minic\cmake-build-debug\.cmake\api\v1\reply\cmakeFiles-v1-f465d3ffedf1677546f3.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 1, 145
"d:\CompilerTools\code\minic\cmake-build-debug\.cmake\api\v1\reply\codemodel-v2-6a843a1ff808158b3f58.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 1, 61
"d:\CompilerTools\code\minic\cmake-build-debug\.cmake\api\v1\reply\directory-.-Debug-d0094a50bb2071803777.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"d:\CompilerTools\code\minic\cmake-build-debug\.cmake\api\v1\reply\index-2023-06-18T03-19-26-0762.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 0, 1, 133
"d:\CompilerTools\code\minic\cmake-build-debug\.cmake\api\v1\reply\target-minic-Debug-36141ff8d43ae5a18c72.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 305, 0, 0, 0, 0, 1, 306
"d:\CompilerTools\code\minic\cmake-build-debug\.cmake\api\v1\reply\toolchains-v1-c49d84b7a635f4e8378e.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 1, 89
"d:\CompilerTools\code\minic\cmake-build-debug\CMakeCache.txt", "C", 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177, 87, 439
"d:\CompilerTools\code\minic\cmake-build-debug\CMakeFiles\3.26.0\CMakeCXXCompiler.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 20, 84
"d:\CompilerTools\code\minic\cmake-build-debug\CMakeFiles\3.26.0\CMakeRCCompiler.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\CompilerTools\code\minic\cmake-build-debug\CMakeFiles\3.26.0\CMakeSystem.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 6, 16
"d:\CompilerTools\code\minic\cmake-build-debug\CMakeFiles\3.26.0\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 648, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 145, 856
"d:\CompilerTools\code\minic\cmake-build-debug\CMakeFiles\CMakeConfigureLog.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 233, 2, 13, 248
"d:\CompilerTools\code\minic\cmake-build-debug\CMakeFiles\CMakeDirectoryInformation.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 5, 17
"d:\CompilerTools\code\minic\cmake-build-debug\CMakeFiles\CMakeRuleHashes.txt", "C", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\CompilerTools\code\minic\cmake-build-debug\CMakeFiles\Makefile.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 6, 53
"d:\CompilerTools\code\minic\cmake-build-debug\CMakeFiles\TargetDirectories.txt", "C", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\CompilerTools\code\minic\cmake-build-debug\CMakeFiles\minic-flex-bison.dir\DependInfo.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 8, 31
"d:\CompilerTools\code\minic\cmake-build-debug\CMakeFiles\minic-flex-bison.dir\cmake_clean.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 2, 26
"d:\CompilerTools\code\minic\cmake-build-debug\CMakeFiles\minic-flex-bison.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"d:\CompilerTools\code\minic\cmake-build-debug\CMakeFiles\minic-flex-bison.dir\link.txt", "C", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\CompilerTools\code\minic\cmake-build-debug\CMakeFiles\minic.dir\DependInfo.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 8, 32
"d:\CompilerTools\code\minic\cmake-build-debug\CMakeFiles\minic.dir\cmake_clean.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 2, 28
"d:\CompilerTools\code\minic\cmake-build-debug\CMakeFiles\minic.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"d:\CompilerTools\code\minic\cmake-build-debug\CMakeFiles\minic.dir\link.txt", "C", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\CompilerTools\code\minic\cmake-build-debug\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 177, 0, 0, 0, 0, 62, 77, 316
"d:\CompilerTools\code\minic\cmake-build-debug\cmake_install.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 8, 50
"d:\CompilerTools\code\minic\cmake-build-debug\compile_commands.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 38
"d:\CompilerTools\code\minic\graph_minic.cpp", "C++", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 125
"d:\CompilerTools\code\minic\graph_minic.h", "C++", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8
"d:\CompilerTools\code\minic\ir.txt", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CompilerTools\code\minic\lexer.h", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\CompilerTools\code\minic\main.cpp", "C++", 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 42, 214
"d:\CompilerTools\code\minic\minic.l", "Lex", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 15, 32, 155
"d:\CompilerTools\code\minic\minic.y", "Yacc", 0, 0, 777, 0, 0, 0, 0, 0, 0, 0, 0, 38, 22, 837
"d:\CompilerTools\code\minic\minic_lex.cpp", "C++", 1433, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 390, 340, 2163
"d:\CompilerTools\code\minic\minic_lex.h", "C++", 342, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 81, 479
"d:\CompilerTools\code\minic\minic_yacc.cpp", "C++", 1982, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 277, 314, 2573
"d:\CompilerTools\code\minic\minic_yacc.h", "C++", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 18, 119
"d:\CompilerTools\code\minic\parser.h", "C++", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36
"d:\CompilerTools\code\minic\symbol.cpp", "C++", 277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 54, 361
"d:\CompilerTools\code\minic\symbol.h", "C++", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 21, 150
"d:\CompilerTools\code\minic\symbol1.h", "C++", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 66
"d:\CompilerTools\code\minic\test.txt", "C", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 64
"d:\CompilerTools\code\minic\test1.txt", "C", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 40
"d:\CompilerTools\code\minic\utils.h", "C++", 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 156
"Total", "-", 6602, 3229, 777, 108, 185, 1, 177, 2241, 348, 4, 233, 1438, 2089, 17432
